datetime,indoor temp,outdoor temp,ac_energy_kWh,energy_waste_kWh,money_waste_AUD
2019-01-01 00:00,20.82083333,25.98427583,0.4580833333,0,0
2019-01-01 01:00,21.18083333,27.15266511,0.4985833333,0.4985833333,0.1246458333
2019-01-01 02:00,21.27333333,28.23062049,0.54775,0.54775,0.1369375
2019-01-01 03:00,21.46,29.08551502,0.58125,0.58125,0.1453125
2019-01-01 04:00,22.18916667,29.60633531,0.6019166667,0.6019166667,0.1504791667
2019-01-01 05:00,23.18416667,29.87564176,0.6530833333,0.6530833333,0.1632708333
2019-01-01 06:00,23.69166667,29.72482001,0.6708333333,0.6708333333,0.1677083333
2019-01-01 07:00,24.50083333,29.80656032,0.7155,0.5289166667,0.1322291667
2019-01-01 08:00,25.5275,28.93964914,0.7233333333,0,0
2019-01-01 09:00,26.02583333,28.43262884,0.7229166667,0,0
2019-01-01 10:00,26.54083333,27.17360819,0.68575,0,0
2019-01-01 11:00,26.86583333,26.22321729,0.6545,0,0
2019-01-01 12:00,26.08416667,24.86240821,0.5475,0,0
2019-01-01 13:00,24.08666667,23.75473792,0.392,0.392,0.098
2019-01-01 14:00,23.00666667,22.93320398,0.297,0.297,0.07425
2019-01-01 15:00,22.5225,21.79383873,0.2499166667,0.2499166667,0.06247916667
2019-01-01 16:00,22.27416667,21.27726744,0.2535833333,0.2535833333,0.06339583333
2019-01-01 17:00,22.095,20.81380338,0.2640833333,0.2640833333,0.06602083333
2019-01-01 18:00,22.89166667,21.20116137,0.2849166667,0.2849166667,0.07122916667
2019-01-01 19:00,24.4075,20.86135828,0.3774166667,0.3774166667,0.09435416667
2019-01-01 20:00,25.00083333,22.08805573,0.3875,0.15975,0.0399375
2019-01-01 21:00,25.22916667,22.48453685,0.3974166667,0,0
2019-01-01 22:00,25.34416667,23.59674204,0.4471666667,0,0
2019-01-01 23:00,25.40833333,24.77676425,0.5091666667,0,0
2019-01-02 00:00,25.46083333,26.06696334,0.5763333333,0,0
2019-01-02 01:00,25.48833333,27.1688739,0.6328333333,0,0
2019-01-02 02:00,25.51666667,28.13401496,0.6825833333,0,0
2019-01-02 03:00,25.51833333,29.4368223,0.74775,0,0
2019-01-02 04:00,25.52916667,29.59052383,0.7558333333,0,0
2019-01-02 05:00,25.53833333,30.2408096,0.7889166667,0,0
2019-01-02 06:00,25.46583333,30.14103101,0.78025,0,0
2019-01-02 07:00,25.35666667,29.75481566,0.7556666667,0,0
2019-01-02 08:00,25.18090909,29.27841965,0.7229090909,0.1328181818,0.03320454545
2019-01-02 09:00,24.73166667,28.23383443,0.6485,0.6485,0.162125
2019-01-02 10:00,24.23166667,27.35327718,0.57925,0.57925,0.1448125
2019-01-02 11:00,24.08333333,26.14134574,0.5113333333,0.5113333333,0.1278333333
2019-01-02 12:00,23.9875,24.97202394,0.448,0.448,0.112
2019-01-02 13:00,23.7375,23.65127745,0.3693333333,0.3693333333,0.09233333333
2019-01-02 14:00,23.73333333,22.9691108,0.3353333333,0.3353333333,0.08383333333
2019-01-02 15:00,23.6825,21.97486622,0.3099166667,0.3099166667,0.07747916667
2019-01-02 16:00,23.585,21.57159112,0.30575,0.30575,0.0764375
2019-01-02 17:00,23.445,21.10938805,0.3166666667,0.3166666667,0.07916666667
2019-01-02 18:00,23.50583333,20.94954425,0.3278333333,0.3278333333,0.08195833333
2019-01-02 19:00,24.30083333,21.46017297,0.3469166667,0.3469166667,0.08672916667
2019-01-02 20:00,24.83333333,22.19918217,0.35875,0.35875,0.0896875
2019-01-02 21:00,25.04583333,22.8170317,0.3929166667,0.031,0.00775
2019-01-02 22:00,25.11916667,23.90115859,0.4509166667,0,0
2019-01-02 23:00,25.0875,25.0596386,0.5075,0,0
2019-01-03 00:00,25.03916667,25.96863092,0.5505,0,0
2019-01-03 01:00,25.01833333,27.29394639,0.61575,0,0
2019-01-03 02:00,25.05083333,28.12963257,0.6589166667,0,0
2019-01-03 03:00,25.07,29.01630209,0.7044166667,0,0
2019-01-03 04:00,25.12166667,29.44955152,0.7285833333,0,0
2019-01-03 05:00,25.12166667,29.92059703,0.752,0,0
2019-01-03 06:00,25.11333333,29.77184689,0.7441666667,0,0
2019-01-03 07:00,25.02833333,29.55944655,0.7295,0.2469166667,0.06172916667
2019-01-03 08:00,24.0025,28.9264921,0.6464166667,0.6464166667,0.1616041667
2019-01-03 09:00,23.49083333,28.42173954,0.5956666667,0.5956666667,0.1489166667
2019-01-03 10:00,23.43583333,27.33690051,0.5385833333,0.5385833333,0.1346458333
2019-01-03 11:00,23.50583333,25.96182195,0.4735,0.4735,0.118375
2019-01-03 12:00,23.48833333,24.80852743,0.4148333333,0.4148333333,0.1037083333
2019-01-03 13:00,23.50833333,23.77788513,0.36425,0.36425,0.0910625
2019-01-03 14:00,23.61,22.66623652,0.3138333333,0.3138333333,0.07845833333
2019-01-03 15:00,23.6,21.85433171,0.3036666667,0.3036666667,0.07591666667
2019-01-03 16:00,23.53666667,21.45501731,0.3045833333,0.3045833333,0.07614583333
2019-01-03 17:00,23.4325,21.14778422,0.319,0.319,0.07975
2019-01-03 18:00,23.29083333,20.89025744,0.32,0.32,0.08
2019-01-03 19:00,23.81916667,21.21055333,0.3319166667,0.3319166667,0.08297916667
2019-01-03 20:00,24.4375,21.73143624,0.3481666667,0.3481666667,0.08704166667
2019-01-03 21:00,24.74,22.97510391,0.3863333333,0.3863333333,0.09658333333
2019-01-03 22:00,24.98,23.98459724,0.4480833333,0.2956666667,0.07391666667
2019-01-03 23:00,25.07,24.92197068,0.4996666667,0,0
2019-01-04 00:00,25.09166667,26.35412884,0.5723333333,0,0
2019-01-04 01:00,25.13,26.96151067,0.6045833333,0,0
2019-01-04 02:00,25.2075,28.18094309,0.6695,0,0
2019-01-04 03:00,25.235,29.0575524,0.7144166667,0,0
2019-01-04 04:00,25.23416667,29.29519613,0.72625,0,0
2019-01-04 05:00,25.19083333,29.7073416,0.7448333333,0,0
2019-01-04 06:00,25.22666667,29.79778576,0.7513333333,0,0
2019-01-04 07:00,25.44166667,29.75359942,0.75975,0,0
2019-01-04 08:00,24.40583333,29.15594191,0.6781666667,0.6150833333,0.1537708333
2019-01-04 09:00,23.58,28.38061632,0.5980833333,0.5980833333,0.1495208333
2019-01-04 10:00,23.33416667,27.11173012,0.52225,0.52225,0.1305625
2019-01-04 11:00,23.3375,25.94627923,0.4641666667,0.4641666667,0.1160416667
2019-01-04 12:00,23.48666667,24.90577593,0.4195,0.4195,0.104875
2019-01-04 13:00,23.4775,24.03996521,0.3759166667,0.3759166667,0.09397916667
2019-01-04 14:00,22.73333333,22.9916778,0.28625,0.28625,0.0715625
2019-01-04 15:00,22.13,22.07491426,0.2275833333,0.2275833333,0.05689583333
2019-01-04 16:00,22.77166667,21.228925,0.2770833333,0.2770833333,0.06927083333
2019-01-04 17:00,23.1725,20.9548839,0.3109166667,0.3109166667,0.07772916667
2019-01-04 18:00,23.33416667,20.99818288,0.3174166667,0.3174166667,0.07935416667
2019-01-04 19:00,23.89916667,21.56227585,0.3345,0.3345,0.083625
2019-01-04 20:00,24.59,21.81517493,0.3530833333,0.3530833333,0.08827083333
2019-01-04 21:00,24.94833333,22.68585198,0.38925,0.2513333333,0.06283333333
2019-01-04 22:00,25.08333333,23.67925693,0.4381666667,0,0
